,rm_id,rm_type,symptom,provider,url,maintain,improve,prevent,description,edit_date,tag
0,102,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,"Avoid tight hairstyles, such as braids, buns or ponytails.",2018-06-15,lifestyle
1,103,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,"Avoid compulsively twisting, rubbing or pulling your hair.",2018-06-15,lifestyle
2,104,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,Treat your hair gently when washing and brushing. A wide-toothed comb may help prevent pulling out hair.,2018-06-15,lifestyle
3,105,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,"Avoid harsh treatments such as hot rollers, curling irons, hot oil treatments and permanents.",2018-06-15,lifestyle
4,106,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,Avoid medications and supplements that could cause hair loss.,2018-06-15,lifestyle
5,107,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,Protect your hair from sunlight and other sources of ultraviolet light.,2018-06-15,lifestyle
6,108,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,Stop smoking. Some studies show an association between smoking and baldness in men.,2018-06-15,lifestyle
7,109,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,0,0,1,"If you are being treated with chemotherapy, ask your doctor about a cooling cap. This cap can reduce your risk of losing hair during chemotherapy.",2018-06-15,lifestyle
8,110,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,0,0,1,"Medicatioin: If your hair loss is caused by an underlying disease, treatment for that disease will be necessary. This may include drugs to reduce inflammation and suppress your immune system, such as prednisone.",2018-06-15,therapy
9,111,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,0,0,1,Minoxidil (Rogaine) for men and women. This is an over-the-counter (nonprescription) medication approved for men and women.,2018-06-15,therapy
10,112,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,0,0,1,Finasteride (Propecia) for men. This is a prescription drug approved for men. You take it daily as a pill.,2018-06-15,therapy
11,113,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,0,0,1,"Other medications. For men, the oral medication dutasteride is an option. For women, treatment may include oral contraceptives and spironolactone.",2018-06-15,therapy
12,114,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,0,0,1,"Hair Transplant Surgery: In the most common type of permanent hair loss, only the top of the head is affected. Hair transplant, or restoration surgery, can make the most of the hair you have left.",2018-06-15,therapy
13,115,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,0,0,1,Laser Therapy: The Food and Drug Administration has approved a low-level laser device as a treatment for hereditary hair loss in men and women.,2018-06-15,therapy
14,116,aging,baldness,MayoClinic,https://www.mayoclinic.org/diseases-conditions/hair-loss/diagnosis-treatment/drc-20372932,0,0,1,"Lifestyle and Home Remedies: You may want to try shaving, other styling techniques and products, scarves, a wig, or a hairpiece. Talk with a hair stylist for ideas. These nonmedical solutions can be used to cover permanent or temporary hair loss.",2018-06-15,therapy
15,117,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#Diet,0,0,1,"Mediterranean Diet: a diet containing raw vegetables and fresh herbs, like the Mediterranean diet, may reduce the risk of androgenic alopecia (female pattern baldness or male pattern baldness) or slow its onset.",2018-06-15,home remedy
16,118,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#Diet,0,0,1,"Protein: Hair follicles are made mostly of protein called keratin. Eating a diet rich in protein may help prevent hair loss. Healthy choices include foods like eggs, nuts, beans and peas, fish, low-fat dairy products, chicken, and turkey.",2018-06-15,home remedy
17,119,aging,baldness,Healthline,https://www.healthline.com/nutrition/foods-for-hair-growth#section14,0,0,1,"Vitamin A: Vitamin A is composed in part of retinoids, which has been shown to increase the rate of hair growth. Fill your plate with foods rich in vitamin A, such as sweet potatoes, sweet peppers, and spinach, just to name a few.",2018-06-15,home remedy
18,120,aging,baldness,Healthline,https://www.healthline.com/nutrition/foods-for-hair-growth#section14,0,0,1,"14 best foods for hair growth. Eggs, berries, spinach, fatty fish, sweet potatoes, avocados, nuts, seeds, sweet peppers, oysters, shrimp, beans, soybeans, and meat.",2018-06-15,home remedy
19,121,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#Supplements,0,0,1,"Multivitamin: Scientists have determined that vitamins A, B, C, D, iron, selenium, and zinc are all important to the hair growth and retention processes, specifically with cell turnover.",2018-06-15,home remedy
20,122,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#Supplements,0,0,1,Biotin: Biotin — vitamin H or B7— is involved in fatty acid synthesis in the body. This process is essential to the hair life cycle and you may experience hair loss if you have a deficiency. Speak with your doctor about taking three to five milligrams daily.,2018-06-15,home remedy
21,123,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#Supplements,0,0,1,"Saw palmetto: Derived from the fruit of American dwarf pine trees, this herb may help men maintain levels of testosterone. The dosage in the study was 200 milligrams daily.",2018-06-15,home remedy
22,124,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#Supplements,0,0,1,Ginseng: Ginseng contains certain phytochemicals that may promote hair growth on the scalp. Further study is needed to recommend specific dosages.,2018-06-15,home remedy
23,125,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#hair-care,0,0,1,"Regular washing: Washing hair daily may protect against hair loss by keeping the scalp healthy and clean. The key is to use a mild shampoo. Harsher formulas may dry hair and cause it to break, leading to hair loss.",2018-06-15,lifestyle
24,126,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#hair-care,0,0,1,"Coconut oil: Coconut oil may help prevent hair damage from grooming and ultraviolet (UV) light exposure. It helps bind protein in hair, protecting it from breakage at the root and strand. Massaging coconut oil into the scalp may promote better blood flow and help with regrowth.",2018-06-15,lifestyle
25,127,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#hair-care,0,0,1,"Olive oil: Olive oil can be used to deep condition hair, protecting it from dryness and associated breakage. Olive oil is also a central ingredient to the Mediterranean diet, which may help slow genetic hair loss. Consider applying a couple tablespoons of olive oil directly to hair and letting it sit for 30 minutes before washing out.",2018-06-15,lifestyle
26,128,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#medications,0,0,1,Platelet-rich plasma: Injecting platelet-rich plasma (PRP) into the scalp helps stimulate growth in areas already impacted by hair loss.,2018-06-15,therapy
27,129,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#medications,0,0,1,Phenylephrine: Topical phenylephrine may help with hair loss due to styling by stimulating the follicle muscles to contract. This makes it harder to pull out hairs during brushing.,2018-06-15,therapy
28,130,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#other-methods,0,0,1,Onion juice: People with alopecia areata may see regrowth after applying crude onion juice to their scalps twice a day.,2018-06-15,home remedy
29,131,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#other-methods,0,0,1,"Yoga: Hair loss caused by stress may respond well to yoga. Try these stress-relieving yoga poses to prevent and slow hair loss: Downward Facing Dog, Forward Bend, Camel Pose, Shoulder Stand, Fish Pose, and Kneeling Pose.",2018-06-15,home remedy
30,132,aging,baldness,Healthline,https://www.healthline.com/health/hair-loss-prevention#other-methods,0,0,1,"Essential Oils (thyme, rosemary, lavender, and cedarwood): Essential oils may help reduce hair loss.",2018-06-15,home remedy
